H,COF.TMO.PFD.PROD.TRAN.20240621.171501.DailyTransactions,COF,TMO,2024-06-21,2024-06-21
D,3374,vHjtCs7fByssb48zWbk6ewXNqDn5XpLWEN2f,vHjtCs7fB,2024-01-05,2024-01-07,03:50:06.765747,2024-01-07 14:54:08.708725,7132,0001,Purchase at Claire's Womens Ready-To-Wear Stores,D,hAWBxBUhYnjDocRYfdwDwjkyRByydRcvSLkq,E,243819,nan,13281.702995300293,,USD,USD,1,473,WG7FhAUtQXKApeMMkkHoVSGL8zDQXyGVcGMG,5621,Claire's Womens Ready-To-Wear Stores,Drexel Hill,PA,US,19026,
D,9133,PjWGKeuhbMkwAC52KBiGiiXq8nWUQiH9BbmW,PjWGKeuhb,2024-02-28,2024-02-29,10:56:24.183884,2024-03-01 01:58:35.216446,7078,0003,"Purchase at Chase's Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing",D,wBiiCj8pVPfrAK4r3F2q85CVvCEaHG8nddZC,E,720438,nan,21117.53225326538,,USD,USD,1,8878,W8kgMSgBjf5rj2Q7sovEnzn9z9yAcPjnFSmc,5521,"Chase's Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing",Salem,MA,US,01970,
D,4093,vHjtCs7fByssb48zWbk6ewXNqDn5XpLWEN2f,vHjtCs7fB,2024-03-04,2024-03-04,23:31:22.548523,2024-03-05 22:45:39.176559,1415,0007,Purchase at Finley's Educational Services,D,obtcVjjsN899DzMmps8zehciCjErCUun7z94,E,12759,dL5rrN,15018.68724822998,,USD,USD,1,6138,ZfQvkCgVR9MDxMar6Ldgge9dh6urxh5HsLUm,8299,Finley's Educational Services,Coram,NY,US,11727,
D,2636,W7ZCM8nZYxyr8TjU2bJkySkEoTiVKt6MJuPJ,W7ZCM8nZY,2024-03-17,2024-03-19,10:30:36.831665,2024-03-19 20:28:10.119553,1857,0007,Purchase at Ibrahim's Motor Vehicle Supplies and New Parts,D,Majebw5Xdo3gCKwkLxbhJLEev3xvwnf5XSwJ,E,223590,nan,12534.95454788208,,USD,USD,1,1030,4JvZD3rDAGGaUVzgdwcoYX3yoQ3SgkbZd788,5013,Ibrahim's Motor Vehicle Supplies and New Parts,Drexel Hill,PA,US,19026,
D,3205,W7ZCM8nZYxyr8TjU2bJkySkEoTiVKt6MJuPJ,W7ZCM8nZY,2024-01-20,2024-01-21,01:09:45.997009,2024-01-21 01:58:14.853973,9632,0002,Purchase at Colby's Buying/Shopping Services,D,SiGrDxxSDTJqLWjpb2iF5ktCNRFwkktCv95w,E,629020,nan,18935.9712600708,,USD,USD,1,6552,JvcvHNBe2cBXh83q7MzRwbKYuPj7yXvfG2HS,7278,Colby's Buying/Shopping Services,Elk Grove Village,IL,US,60007,
D,4499,seq7VgrxjEqVeWVDt3zDcV6RMHTcE3Yeje7u,seq7Vgrxj,2024-02-09,2024-02-10,10:49:58.594666,2024-02-10 17:22:04.944306,4095,0002,Purchase at Harlow's Computer Repair,D,zp7uSgoFG9F9xw3D3tPYT8txLU5UnHTnojAt,E,771157,nan,10923.80166053772,,USD,USD,1,6589,VLYfv3vvfAid2pZHUBEDDaZVuiZ48XAdq5jJ,7379,Harlow's Computer Repair,Clayton,NC,US,27520,
D,9677,seq7VgrxjEqVeWVDt3zDcV6RMHTcE3Yeje7u,seq7Vgrxj,2024-03-13,2024-03-14,08:46:24.059143,2024-03-14 10:58:55.733414,5217,0001,"Purchase at Matilda's Precious Stones and Metals, Watches and Jewelry",D,C4vTXwzyoFzJj96YBT4pwSUUJbF3NmvKPx5M,E,111376,nan,19020.21288871765,,USD,USD,1,5576,DN5MPHMrG4S4w7oHFupCauYtvM838dyGtiwG,5094,"Matilda's Precious Stones and Metals, Watches and Jewelry",Fort Wayne,IN,US,46804,
D,2992,W7ZCM8nZYxyr8TjU2bJkySkEoTiVKt6MJuPJ,W7ZCM8nZY,2024-01-14,2024-01-15,03:36:10.998001,2024-01-15 11:48:16.624374,2493,0004,"Purchase at Boden's Opticians, Eyeglasses",D,z9vzCYurBAwT3yqJcAV3TbwpwU39hbRmSrw2,E,878148,nan,11407.878398895264,,USD,USD,1,3221,3ZGmEChERvVUcP7oKkf7YiU62LHG2FdK3co5,8043,"Boden's Opticians, Eyeglasses",Norwich,CT,US,06360,
D,0000,JdjpikYFQXcRXdeMkWQXQQp35JrA9ZLoAJM5,JdjpikYFQ,2024-03-24,2024-03-26,13:22:08.130341,2024-03-27 02:59:50.647889,8158,0002,Purchase at Kiara's Shoe Repair/Hat Cleaning,D,ajYMfRCuZByvAYwwoDw5R9EMU5QrBHzjQpnV,E,449280,dFPe56,18272.9434967041,,USD,USD,1,9302,bHiK7o5JKfguvDAHaQeSmjohkQCFRbeqg76W,7251,Kiara's Shoe Repair/Hat Cleaning,Camden,NJ,US,08105,
D,7825,W7ZCM8nZYxyr8TjU2bJkySkEoTiVKt6MJuPJ,W7ZCM8nZY,2024-01-10,2024-01-10,03:21:01.165237,2024-01-10 16:50:43.686676,2698,0000,"Purchase at Ensley's Roofing/Siding, Sheet Metal",D,LRWaZ74gopr3CGhX7M4RtwKDVmhTp2nzmonN,E,497577,nan,14707.095623016357,,USD,USD,1,3195,GWB4Q2vKbC8WVf6VUahFiYzZWZuPHe7WQCbA,1761,"Ensley's Roofing/Siding, Sheet Metal",Salt Lake City,UT,US,84119,
